"year","state","ideology","total"
2000,"Alabama","Christian Identity",3
2000,"Alabama","General Hate",1
2000,"Alabama","Ku Klux Klan",15
2000,"Alabama","Neo-Confederate",9
2000,"Alabama","Neo-Nazi",1
2000,"Alabama","Racist Skinhead",1
2000,"Alabama","White Nationalist",6
2000,"Alabama",NA,2
2000,"Alaska","Neo-Nazi",1
2000,"Arizona","General Hate",1
2000,"Arizona","Neo-Nazi",4
2000,"Arizona","Racist Skinhead",3
2000,"Arkansas","Christian Identity",3
2000,"Arkansas","Ku Klux Klan",7
2000,"Arkansas","Neo-Confederate",1
2000,"Arkansas","Neo-Nazi",4
2000,"Arkansas","Racist Skinhead",2
2000,"Arkansas","White Nationalist",1
2000,"California","Anti-Immigrant",1
2000,"California","Christian Identity",2
2000,"California","General Hate",1
2000,"California","Ku Klux Klan",1
2000,"California","Neo-Confederate",1
2000,"California","Neo-Nazi",12
2000,"California","Racist Skinhead",6
2000,"California","White Nationalist",1
2000,"California",NA,4
2000,"Colorado","Christian Identity",2
2000,"Colorado","Hate Music",1
2000,"Colorado","Neo-Nazi",2
2000,"Colorado","Racist Skinhead",1
2000,"Colorado","White Nationalist",1
2000,"Connecticut","Neo-Nazi",3
2000,"Delaware","Ku Klux Klan",1
2000,"Delaware","Racist Skinhead",1
2000,"District of Columbia","General Hate",1
2000,"District of Columbia",NA,2
2000,"Florida","Christian Identity",1
2000,"Florida","General Hate",1
2000,"Florida","Ku Klux Klan",2
2000,"Florida","Neo-Confederate",13
2000,"Florida","Neo-Nazi",11
2000,"Florida","Racist Skinhead",1
2000,"Florida","White Nationalist",7
2000,"Florida",NA,2
2000,"Georgia","General Hate",2
2000,"Georgia","Ku Klux Klan",2
2000,"Georgia","Neo-Confederate",15
2000,"Georgia","Neo-Nazi",4
2000,"Georgia","Racist Skinhead",1
2000,"Georgia","White Nationalist",3
2000,"Georgia",NA,3
2000,"Hawaii","White Nationalist",1
2000,"Idaho","Christian Identity",4
2000,"Idaho","Neo-Nazi",2
2000,"Idaho","Racist Skinhead",1
2000,"Idaho","White Nationalist",2
2000,"Illinois","Ku Klux Klan",1
2000,"Illinois","Neo-Nazi",12
2000,"Illinois","White Nationalist",2
2000,"Illinois",NA,1
2000,"Indiana","Ku Klux Klan",7
2000,"Indiana","Neo-Nazi",6
2000,"Indiana","Racist Skinhead",4
2000,"Indiana","White Nationalist",1
2000,"Iowa","Neo-Nazi",1
2000,"Iowa","White Nationalist",1
2000,"Kansas","Anti-LGBTQ",1
2000,"Kansas","Ku Klux Klan",1
2000,"Kansas","Neo-Nazi",1
2000,"Kansas","Racist Skinhead",1
2000,"Kentucky","Christian Identity",2
2000,"Kentucky","Ku Klux Klan",4
2000,"Kentucky","Neo-Confederate",1
2000,"Kentucky","White Nationalist",1
2000,"Louisiana","Christian Identity",1
2000,"Louisiana","General Hate",1
2000,"Louisiana","Ku Klux Klan",4
2000,"Louisiana","Neo-Confederate",7
2000,"Louisiana","Neo-Nazi",3
2000,"Louisiana","White Nationalist",2
2000,"Louisiana",NA,1
2000,"Maine","White Nationalist",1
2000,"Maryland","Neo-Confederate",1
2000,"Maryland","Neo-Nazi",6
2000,"Maryland",NA,1
2000,"Massachusetts","Neo-Nazi",3
2000,"Massachusetts",NA,3
2000,"Michigan","Christian Identity",1
2000,"Michigan","Neo-Nazi",4
2000,"Michigan","Racist Skinhead",3
2000,"Michigan","White Nationalist",4
2000,"Michigan",NA,2
2000,"Minnesota","General Hate",1
2000,"Minnesota","Neo-Nazi",6
2000,"Minnesota","Racist Skinhead",1
2000,"Mississippi","General Hate",1
2000,"Mississippi","Ku Klux Klan",7
2000,"Mississippi","Neo-Confederate",9
2000,"Mississippi","Neo-Nazi",1
2000,"Mississippi","White Nationalist",8
2000,"Mississippi",NA,1
2000,"Missouri","Christian Identity",2
2000,"Missouri","General Hate",2
2000,"Missouri","Ku Klux Klan",5
2000,"Missouri","Neo-Confederate",1
2000,"Missouri","Neo-Nazi",2
2000,"Missouri","Racist Skinhead",1
2000,"Missouri","White Nationalist",2
2000,"Missouri",NA,2
2000,"Montana","Christian Identity",1
2000,"Montana","Neo-Nazi",3
2000,"Nebraska","Christian Identity",1
2000,"Nebraska","Neo-Nazi",4
2000,"Nevada","Neo-Nazi",6
2000,"Nevada","Racist Skinhead",1
2000,"Nevada",NA,1
2000,"New Jersey","Neo-Nazi",7
