"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"2nd Amendment Patches.com","Halltown","Missouri","","","","","2022"
"AC Skins","Atlantic City","New Jersey","","Racist Skinhead ","","","2022"
"AC Skins","","California","","Racist Skinhead ","","Yes","2022"
"AC Skins","","Tennessee","","Racist Skinhead ","","Yes","2022"
"ACT for America","Los Angeles","California","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Mission Viejo","California","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","San Fernando Valley","California","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","San Gabriel Valley","California","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Santa Clarita","California","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Bear","Delaware","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Heathrow","Florida","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Des Plaines","Illinois","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Metairie","Louisiana","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Houston","Texas","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Vancouver","Washington","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Washington","District of Columbia","ACT for America ","Anti-Muslim","Yes","","2022"
"ACT for America","","Connecticut","ACT for America ","Anti-Muslim","","Yes","2022"
"ACTBAC NC","Snow Camp","North Carolina","","Neo-Confederate","Yes","","2022"
"Active Club","","North Carolina","","White Nationalist ","","Yes","2022"
"Active Club","","Ohio","","White Nationalist ","","Yes","2022"
"Active Club","","Oregon","","White Nationalist ","","Yes","2022"
"Active Club","","Tennessee","","White Nationalist ","","Yes","2022"
"AFA of Indiana","Indianapolis","Indiana","","Anti-LGBTQ","","","2022"
"Affirmative Right","Atlanta","Georgia","","White Nationalist ","Yes","","2022"
"Al Moroccan Empire at New Jersey State Republic","","New Jersey","","","Yes","Yes","2022"
"Alabama Parents Involved in Education","","Alabama","","","","Yes","2022"
"Alaska Parents Involved in Education","","Alaska","","","","Yes","2022"
"AlertAmerica.News","Hauppauge","New York","","Anti-Muslim","Yes","","2022"
"All Scripture Baptist Church","Knoxville","Tennessee","","Anti-LGBTQ","Yes","","2022"
"Alliance Defending Freedom","Scottsdale","Arizona","Alliance Defending Freedom","Anti-LGBTQ","Yes","","2022"
"Alt-Market.com","Pittsburgh","Pennsylvania","","","Yes","","2022"
"Ambassadors of Christ","Chicago","Illinois","","General Hate ","","","2022"
"Ambassadors of Christ","Brooklyn","New York","","General Hate ","Yes","","2022"
"America First Foundation","Saint Petersburg","Florida","","White Nationalist ","","","2022"
"America First Foundation","Berwyn","Illinois","","White Nationalist ","Yes","","2022"
"America's Remedy","Charlotte","North Carolina","","","","","2022"
